date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011/1/29,11101,Saturday,1,1,2011,d_1,,,,,0,0,0
2011/1/30,11101,Sunday,2,1,2011,d_2,,,,,0,0,0
2011/1/31,11101,Monday,3,1,2011,d_3,,,,,0,0,0
2011/2/1,11101,Tuesday,4,2,2011,d_4,,,,,1,1,0
2011/2/2,11101,Wednesday,5,2,2011,d_5,,,,,1,0,1
2011/2/3,11101,Thursday,6,2,2011,d_6,,,,,1,1,1
2011/2/4,11101,Friday,7,2,2011,d_7,,,,,1,0,0
2011/2/5,11102,Saturday,1,2,2011,d_8,,,,,1,1,1
2011/2/6,11102,Sunday,2,2,2011,d_9,SuperBowl,Sporting,,,1,1,1
2011/2/7,11102,Monday,3,2,2011,d_10,,,,,1,1,0
2011/2/8,11102,Tuesday,4,2,2011,d_11,,,,,1,0,1
2011/2/9,11102,Wednesday,5,2,2011,d_12,,,,,1,1,1
2011/2/10,11102,Thursday,6,2,2011,d_13,,,,,1,0,0
2011/2/11,11102,Friday,7,2,2011,d_14,,,,,0,1,1
2011/2/12,11103,Saturday,1,2,2011,d_15,,,,,0,1,1
2011/2/13,11103,Sunday,2,2,2011,d_16,,,,,0,1,0
2011/2/14,11103,Monday,3,2,2011,d_17,ValentinesDay,Cultural,,,0,0,1
2011/2/15,11103,Tuesday,4,2,2011,d_18,,,,,0,1,1
2011/2/16,11103,Wednesday,5,2,2011,d_19,,,,,0,0,0
2011/2/17,11103,Thursday,6,2,2011,d_20,,,,,0,0,0
2011/2/18,11103,Friday,7,2,2011,d_21,,,,,0,0,0
2011/2/19,11104,Saturday,1,2,2011,d_22,,,,,0,0,0
2011/2/20,11104,Sunday,2,2,2011,d_23,,,,,0,0,0
2011/2/21,11104,Monday,3,2,2011,d_24,PresidentsDay,National,,,0,0,0
2011/2/22,11104,Tuesday,4,2,2011,d_25,,,,,0,0,0
2011/2/23,11104,Wednesday,5,2,2011,d_26,,,,,0,0,0
2011/2/24,11104,Thursday,6,2,2011,d_27,,,,,0,0,0
2011/2/25,11104,Friday,7,2,2011,d_28,,,,,0,0,0
2011/2/26,11105,Saturday,1,2,2011,d_29,,,,,0,0,0
2011/2/27,11105,Sunday,2,2,2011,d_30,,,,,0,0,0
2011/2/28,11105,Monday,3,2,2011,d_31,,,,,0,0,0
2011/3/1,11105,Tuesday,4,3,2011,d_32,,,,,1,1,0
2011/3/2,11105,Wednesday,5,3,2011,d_33,,,,,1,0,1
2011/3/3,11105,Thursday,6,3,2011,d_34,,,,,1,1,1
2011/3/4,11105,Friday,7,3,2011,d_35,,,,,1,0,0
2011/3/5,11106,Saturday,1,3,2011,d_36,,,,,1,1,1
2011/3/6,11106,Sunday,2,3,2011,d_37,,,,,1,1,1
2011/3/7,11106,Monday,3,3,2011,d_38,,,,,1,1,0
2011/3/8,11106,Tuesday,4,3,2011,d_39,,,,,1,0,1
2011/3/9,11106,Wednesday,5,3,2011,d_40,LentStart,Religious,,,1,1,1
2011/3/10,11106,Thursday,6,3,2011,d_41,,,,,1,0,0
2011/3/11,11106,Friday,7,3,2011,d_42,,,,,0,1,1
